,precision,recall,f1-score,support
AM General Hummer SUV 2000,0.9777777777777777,0.9887640449438202,0.9832402234636872,89.0
Acura RL Sedan 2012,0.8082191780821918,0.921875,0.8613138686131386,64.0
Acura TL Sedan 2012,0.9195402298850575,0.9302325581395349,0.9248554913294798,86.0
Acura TL Type-S 2008,0.9302325581395349,0.9523809523809523,0.9411764705882352,84.0
Acura TSX Sedan 2012,0.7872340425531915,0.9135802469135802,0.8457142857142856,81.0
Acura Integra Type R 2001,0.9659090909090909,0.9550561797752809,0.96045197740113,89.0
Acura ZDX Hatchback 2012,0.8160919540229885,0.9102564102564102,0.8606060606060606,78.0
Aston Martin V8 Vantage Convertible 2012,0.8762886597938144,0.9444444444444444,0.9090909090909091,90.0
Aston Martin V8 Vantage Coupe 2012,0.9605263157894737,0.8902439024390244,0.9240506329113923,82.0
Aston Martin Virage Convertible 2012,0.8714285714285714,0.9242424242424242,0.8970588235294117,66.0
Aston Martin Virage Coupe 2012,0.9367088607594937,0.9736842105263158,0.9548387096774194,76.0
Audi RS 4 Convertible 2008,0.9722222222222222,0.958904109589041,0.9655172413793104,73.0
Audi A5 Coupe 2012,0.9125,0.8902439024390244,0.9012345679012346,82.0
Audi TTS Coupe 2012,0.891566265060241,0.8705882352941177,0.880952380952381,85.0
Audi R8 Coupe 2012,0.9764705882352941,0.9651162790697675,0.9707602339181286,86.0
Audi V8 Sedan 1994,0.9101123595505618,0.9310344827586207,0.9204545454545454,87.0
Audi 100 Sedan 1994,0.9125,0.9012345679012346,0.9068322981366459,81.0
Audi 100 Wagon 1994,0.8863636363636364,0.9176470588235294,0.9017341040462428,85.0
Audi TT Hatchback 2011,0.9594594594594594,0.8765432098765432,0.9161290322580644,81.0
Audi S6 Sedan 2011,0.8865979381443299,0.9347826086956522,0.91005291005291,92.0
Audi S5 Convertible 2012,0.961038961038961,0.8809523809523809,0.9192546583850931,84.0
Audi S5 Coupe 2012,0.8636363636363636,0.8941176470588236,0.8786127167630058,85.0
Audi S4 Sedan 2012,0.971830985915493,0.8734177215189873,0.92,79.0
Audi S4 Sedan 2007,0.8775510204081632,0.9555555555555556,0.9148936170212767,90.0
Audi TT RS Coupe 2012,0.8636363636363636,0.9620253164556962,0.9101796407185629,79.0
BMW ActiveHybrid 5 Sedan 2012,0.9166666666666666,0.9705882352941176,0.9428571428571428,68.0
BMW 1 Series Convertible 2012,0.9428571428571428,0.9295774647887324,0.9361702127659575,71.0
BMW 1 Series Coupe 2012,0.9425287356321839,1.0,0.9704142011834319,82.0
BMW 3 Series Sedan 2012,0.8850574712643678,0.9058823529411765,0.8953488372093024,85.0
BMW 3 Series Wagon 2012,0.9512195121951219,0.9397590361445783,0.9454545454545454,83.0
BMW 6 Series Convertible 2007,0.898876404494382,0.9090909090909091,0.9039548022598869,88.0
BMW X5 SUV 2007,0.9111111111111111,0.9879518072289156,0.9479768786127168,83.0
BMW X6 SUV 2012,0.975,0.9285714285714286,0.951219512195122,84.0
BMW M3 Coupe 2012,0.9875,0.8876404494382022,0.9349112426035503,89.0
BMW M5 Sedan 2010,0.9493670886075949,0.9146341463414634,0.9316770186335404,82.0
BMW M6 Convertible 2010,0.8902439024390244,0.8902439024390244,0.8902439024390244,82.0
BMW X3 SUV 2012,0.9577464788732394,0.8831168831168831,0.918918918918919,77.0
BMW Z4 Convertible 2012,0.9090909090909091,0.9876543209876543,0.9467455621301774,81.0
Bentley Continental Supersports Conv. Convertible 2012,0.9420289855072463,0.8904109589041096,0.9154929577464788,73.0
Bentley Arnage Sedan 2009,0.9743589743589743,0.9743589743589743,0.9743589743589743,78.0
Bentley Mulsanne Sedan 2011,0.9714285714285714,0.9577464788732394,0.9645390070921985,71.0
Bentley Continental GT Coupe 2012,0.9375,0.8695652173913043,0.9022556390977444,69.0
Bentley Continental GT Coupe 2007,0.8,0.9130434782608695,0.852791878172589,92.0
Bentley Continental Flying Spur Sedan 2007,0.9130434782608695,0.9438202247191011,0.9281767955801105,89.0
Bugatti Veyron 16.4 Convertible 2009,0.9830508474576272,0.8923076923076924,0.9354838709677421,65.0
Bugatti Veyron 16.4 Coupe 2009,0.8723404255319149,0.9425287356321839,0.9060773480662984,87.0
Buick Regal GS 2012,0.9066666666666666,0.9714285714285714,0.9379310344827586,70.0
Buick Rainier SUV 2007,0.9523809523809523,0.9411764705882353,0.9467455621301775,85.0
Buick Verano Sedan 2012,0.971830985915493,0.92,0.9452054794520549,75.0
Buick Enclave SUV 2012,0.8817204301075269,0.9761904761904762,0.9265536723163842,84.0
Cadillac CTS-V Sedan 2012,0.896551724137931,0.9069767441860465,0.9017341040462429,86.0
Cadillac SRX SUV 2012,0.9746835443037974,0.9390243902439024,0.9565217391304348,82.0
Cadillac Escalade EXT Crew Cab 2007,0.9666666666666667,0.9775280898876404,0.9720670391061451,89.0
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.8369565217391305,0.9625,0.8953488372093024,80.0
Chevrolet Corvette Convertible 2012,0.9397590361445783,0.9873417721518988,0.962962962962963,79.0
Chevrolet Corvette ZR1 2012,0.989247311827957,0.989247311827957,0.989247311827957,93.0
Chevrolet Corvette Ron Fellows Edition Z06 2007,1.0,0.9466666666666667,0.9726027397260273,75.0
Chevrolet Traverse SUV 2012,0.9529411764705882,0.9204545454545454,0.9364161849710982,88.0
Chevrolet Camaro Convertible 2012,0.9770114942528736,0.9550561797752809,0.9659090909090908,89.0
Chevrolet HHR SS 2010,0.9861111111111112,0.9726027397260274,0.9793103448275863,73.0
Chevrolet Impala Sedan 2007,0.8631578947368421,0.9534883720930233,0.9060773480662985,86.0
Chevrolet Tahoe Hybrid SUV 2012,0.8888888888888888,0.972972972972973,0.9290322580645162,74.0
Chevrolet Sonic Sedan 2012,0.9529411764705882,0.9204545454545454,0.9364161849710982,88.0
Chevrolet Express Cargo Van 2007,0.9387755102040817,0.7796610169491526,0.8518518518518519,59.0
Chevrolet Avalanche Crew Cab 2012,0.9540229885057471,0.9222222222222223,0.9378531073446328,90.0
Chevrolet Cobalt SS 2010,0.9418604651162791,0.9759036144578314,0.9585798816568047,83.0
Chevrolet Malibu Hybrid Sedan 2010,0.9558823529411765,0.8441558441558441,0.8965517241379309,77.0
Chevrolet TrailBlazer SS 2009,0.987012987012987,0.95,0.9681528662420381,80.0
Chevrolet Silverado 2500HD Regular Cab 2012,0.918918918918919,0.8947368421052632,0.9066666666666667,76.0
Chevrolet Silverado 1500 Classic Extended Cab 2007,0.9878048780487805,0.9529411764705882,0.9700598802395209,85.0
Chevrolet Express Van 2007,0.863013698630137,0.9,0.881118881118881,70.0
Chevrolet Monte Carlo Coupe 2007,0.9021739130434783,0.9222222222222223,0.9120879120879122,90.0
Chevrolet Malibu Sedan 2007,0.8817204301075269,0.9213483146067416,0.901098901098901,89.0
Chevrolet Silverado 1500 Extended Cab 2012,0.9390243902439024,0.8850574712643678,0.911242603550296,87.0
Chevrolet Silverado 1500 Regular Cab 2012,0.9444444444444444,0.9659090909090909,0.9550561797752809,88.0
Chrysler Aspen SUV 2009,0.9534883720930233,0.9425287356321839,0.9479768786127168,87.0
Chrysler Sebring Convertible 2010,0.974025974025974,0.9259259259259259,0.949367088607595,81.0
Chrysler Town and Country Minivan 2012,0.935064935064935,0.96,0.9473684210526316,75.0
Chrysler 300 SRT-8 2010,0.96875,0.9587628865979382,0.9637305699481865,97.0
Chrysler Crossfire Convertible 2008,0.9767441860465116,0.9767441860465116,0.9767441860465116,86.0
Chrysler PT Cruiser Convertible 2008,0.978021978021978,0.9888888888888889,0.9834254143646408,90.0
Daewoo Nubira Wagon 2002,0.9767441860465116,0.9333333333333333,0.9545454545454545,90.0
Dodge Caliber Wagon 2012,0.8,0.9382716049382716,0.8636363636363636,81.0
Dodge Caliber Wagon 2007,0.8765432098765432,0.8452380952380952,0.8606060606060606,84.0
Dodge Caravan Minivan 1997,0.9883720930232558,0.9770114942528736,0.9826589595375722,87.0
Dodge Ram Pickup 3500 Crew Cab 2010,0.9655172413793104,0.9882352941176471,0.9767441860465116,85.0
Dodge Ram Pickup 3500 Quad Cab 2009,0.9655172413793104,0.9545454545454546,0.96,88.0
Dodge Sprinter Cargo Van 2009,0.948051948051948,0.9240506329113924,0.9358974358974359,79.0
Dodge Journey SUV 2012,0.9523809523809523,0.9090909090909091,0.9302325581395349,88.0
Dodge Dakota Crew Cab 2010,0.9204545454545454,0.9878048780487805,0.9529411764705882,82.0
Dodge Dakota Club Cab 2007,0.9382716049382716,0.987012987012987,0.9620253164556961,77.0
Dodge Magnum Wagon 2008,0.9868421052631579,0.9375,0.9615384615384615,80.0
Dodge Challenger SRT8 2011,0.987012987012987,0.9743589743589743,0.9806451612903225,78.0
Dodge Durango SUV 2012,0.9642857142857143,0.9310344827586207,0.9473684210526316,87.0
Dodge Durango SUV 2007,0.9565217391304348,0.967032967032967,0.9617486338797815,91.0
Dodge Charger Sedan 2012,0.9080459770114943,0.9634146341463414,0.9349112426035503,82.0
Dodge Charger SRT-8 2009,0.9358974358974359,0.8690476190476191,0.9012345679012346,84.0
Eagle Talon Hatchback 1998,0.9333333333333333,0.9130434782608695,0.9230769230769231,92.0
FIAT 500 Abarth 2012,0.9482758620689655,1.0,0.9734513274336283,55.0
FIAT 500 Convertible 2012,0.9705882352941176,0.9850746268656716,0.9777777777777777,67.0
Ferrari FF Coupe 2012,0.9878048780487805,0.9642857142857143,0.9759036144578312,84.0
Ferrari California Convertible 2012,0.9382716049382716,0.9743589743589743,0.9559748427672956,78.0
Ferrari 458 Italia Convertible 2012,0.9615384615384616,0.9493670886075949,0.9554140127388535,79.0
Ferrari 458 Italia Coupe 2012,0.9090909090909091,0.9411764705882353,0.9248554913294799,85.0
Fisker Karma Sedan 2012,0.9444444444444444,0.9770114942528736,0.96045197740113,87.0
Ford F-450 Super Duty Crew Cab 2012,1.0,0.9759036144578314,0.9878048780487805,83.0
Ford Mustang Convertible 2007,0.9529411764705882,0.9101123595505618,0.9310344827586207,89.0
Ford Freestar Minivan 2007,0.946236559139785,1.0,0.9723756906077349,88.0
Ford Expedition EL SUV 2009,0.9775280898876404,0.9775280898876404,0.9775280898876404,89.0
Ford Edge SUV 2012,0.9878048780487805,0.9418604651162791,0.9642857142857143,86.0
Ford Ranger SuperCab 2011,0.9878048780487805,0.9642857142857143,0.9759036144578312,84.0
Ford GT Coupe 2006,0.9361702127659575,0.967032967032967,0.9513513513513513,91.0
Ford F-150 Regular Cab 2012,1.0,0.9882352941176471,0.9940828402366864,85.0
Ford F-150 Regular Cab 2007,0.9239130434782609,0.9444444444444444,0.934065934065934,90.0
Ford Focus Sedan 2007,0.8673469387755102,0.9444444444444444,0.9042553191489361,90.0
Ford E-Series Wagon Van 2012,1.0,0.9733333333333334,0.9864864864864865,75.0
Ford Fiesta Sedan 2012,0.9642857142857143,0.9529411764705882,0.9585798816568047,85.0
GMC Terrain SUV 2012,0.9294117647058824,0.9518072289156626,0.9404761904761904,83.0
GMC Savana Van 2012,0.898876404494382,0.975609756097561,0.935672514619883,82.0
GMC Yukon Hybrid SUV 2012,0.9629629629629629,0.9176470588235294,0.9397590361445782,85.0
GMC Acadia SUV 2012,0.9529411764705882,0.9101123595505618,0.9310344827586207,89.0
GMC Canyon Extended Cab 2012,1.0,0.875,0.9333333333333333,80.0
Geo Metro Convertible 1993,1.0,0.9775280898876404,0.9886363636363636,89.0
HUMMER H3T Crew Cab 2010,0.9615384615384616,0.9615384615384616,0.9615384615384616,78.0
